128, 1656, 12.94
256, 2536, 9.91
512, 4316, 8.43
1024, 7868, 7.68
2048, 14958, 7.30
4096, 29074, 7.10
8192, 57334, 7.00
16384, 113842, 6.95
128, 1626, 12.70
256, 2532, 9.89
512, 4318, 8.43
1024, 7860, 7.68
2048, 14952, 7.30
4096, 29090, 7.10
8192, 57320, 7.00
16384, 113846, 6.95
128, 1628, 12.72
256, 2540, 9.92
512, 4322, 8.44
1024, 7854, 7.67
2048, 14956, 7.30
4096, 29082, 7.10
8192, 57328, 7.00
16384, 113852, 6.95
128, 1624, 12.69
256, 2534, 9.90
512, 4314, 8.43
1024, 7870, 7.69
2048, 14952, 7.30
4096, 29088, 7.10
8192, 57342, 7.00
16384, 113852, 6.95
128, 1628, 12.72
256, 2536, 9.91
512, 4324, 8.45
1024, 7858, 7.67
2048, 14948, 7.30
4096, 29090, 7.10
8192, 57342, 7.00
16384, 113856, 6.95
128, 1626, 12.70
256, 2540, 9.92
512, 4320, 8.44
1024, 7852, 7.67
2048, 14956, 7.30
4096, 29094, 7.10
8192, 57338, 7.00
16384, 113852, 6.95
128, 1626, 12.70
256, 2530, 9.88
512, 4318, 8.43
1024, 7854, 7.67
2048, 14950, 7.30
4096, 29092, 7.10
8192, 57340, 7.00
16384, 113866, 6.95
128, 1656, 12.94
256, 2534, 9.90
512, 4318, 8.43
1024, 7864, 7.68
2048, 14956, 7.30
4096, 29082, 7.10
8192, 57344, 7.00
16384, 113850, 6.95
128, 1624, 12.69
256, 2548, 9.95
512, 4322, 8.44
1024, 7856, 7.67
2048, 14962, 7.31
4096, 29088, 7.10
8192, 57354, 7.00
16384, 113852, 6.95
128, 1630, 12.73
256, 2542, 9.93
512, 4320, 8.44
1024, 7860, 7.68
2048, 14954, 7.30
4096, 29094, 7.10
8192, 57334, 7.00
16384, 113856, 6.95
128, 1626, 12.70
256, 2534, 9.90
512, 4314, 8.43
1024, 7864, 7.68
2048, 14956, 7.30
4096, 29098, 7.10
8192, 57344, 7.00
16384, 113864, 6.95
