128, 720, 5.62
256, 618, 2.41
512, 1226, 2.39
1024, 2438, 2.38
2048, 4862, 2.37
4096, 9728, 2.38
8192, 19446, 2.37
16384, 38866, 2.37
128, 720, 5.62
256, 620, 2.42
512, 1226, 2.39
1024, 2446, 2.39
2048, 4874, 2.38
4096, 9728, 2.38
8192, 19472, 2.38
16384, 38886, 2.37
128, 720, 5.62
256, 616, 2.41
512, 1226, 2.39
1024, 2438, 2.38
2048, 4874, 2.38
4096, 9732, 2.38
8192, 19460, 2.38
16384, 38898, 2.37
128, 720, 5.62
256, 618, 2.41
512, 1226, 2.39
1024, 2446, 2.39
2048, 4868, 2.38
4096, 9722, 2.37
8192, 19450, 2.37
16384, 38910, 2.37
128, 720, 5.62
256, 618, 2.41
512, 1226, 2.39
1024, 2438, 2.38
2048, 4878, 2.38
4096, 9726, 2.37
8192, 19448, 2.37
16384, 38880, 2.37
128, 720, 5.62
256, 620, 2.42
512, 1226, 2.39
1024, 2438, 2.38
2048, 4884, 2.38
4096, 9720, 2.37
8192, 19434, 2.37
16384, 38958, 2.38
128, 722, 5.64
256, 620, 2.42
512, 1228, 2.40
1024, 2446, 2.39
2048, 4872, 2.38
4096, 9724, 2.37
8192, 19472, 2.38
16384, 38886, 2.37
128, 720, 5.62
256, 618, 2.41
512, 1226, 2.39
1024, 2438, 2.38
2048, 4866, 2.38
4096, 9726, 2.37
8192, 19448, 2.37
16384, 38900, 2.37
128, 720, 5.62
256, 618, 2.41
512, 1228, 2.40
1024, 2436, 2.38
2048, 4880, 2.38
4096, 9722, 2.37
8192, 19464, 2.38
16384, 38870, 2.37
128, 720, 5.62
256, 620, 2.42
512, 1228, 2.40
1024, 2440, 2.38
2048, 4864, 2.38
4096, 9740, 2.38
8192, 19446, 2.37
16384, 38888, 2.37
128, 720, 5.62
256, 620, 2.42
512, 1228, 2.40
1024, 2440, 2.38
2048, 4866, 2.38
4096, 9718, 2.37
8192, 19474, 2.38
16384, 38904, 2.37
