128, 440, 3.44
256, 444, 1.73
512, 868, 1.70
1024, 1712, 1.67
2048, 3418, 1.67
4096, 6808, 1.66
8192, 13610, 1.66
16384, 27204, 1.66
128, 440, 3.44
256, 440, 1.72
512, 868, 1.70
1024, 1718, 1.68
2048, 3416, 1.67
4096, 6814, 1.66
8192, 13594, 1.66
16384, 27210, 1.66
128, 444, 3.47
256, 440, 1.72
512, 868, 1.70
1024, 1716, 1.68
2048, 3418, 1.67
4096, 6810, 1.66
8192, 13622, 1.66
16384, 27186, 1.66
128, 440, 3.44
256, 442, 1.73
512, 868, 1.70
1024, 1712, 1.67
2048, 3424, 1.67
4096, 6810, 1.66
8192, 13602, 1.66
16384, 27208, 1.66
128, 440, 3.44
256, 444, 1.73
512, 866, 1.69
1024, 1720, 1.68
2048, 3416, 1.67
4096, 6812, 1.66
8192, 13604, 1.66
16384, 27196, 1.66
128, 440, 3.44
256, 440, 1.72
512, 866, 1.69
1024, 1716, 1.68
2048, 3420, 1.67
4096, 6818, 1.66
8192, 13598, 1.66
16384, 27204, 1.66
128, 444, 3.47
256, 440, 1.72
512, 870, 1.70
1024, 1718, 1.68
2048, 3418, 1.67
4096, 6808, 1.66
8192, 13604, 1.66
16384, 27172, 1.66
128, 440, 3.44
256, 442, 1.73
512, 872, 1.70
1024, 1718, 1.68
2048, 3416, 1.67
4096, 6814, 1.66
8192, 13602, 1.66
16384, 27210, 1.66
128, 442, 3.45
256, 444, 1.73
512, 868, 1.70
1024, 1716, 1.68
2048, 3416, 1.67
4096, 6802, 1.66
8192, 13610, 1.66
16384, 27190, 1.66
128, 444, 3.47
256, 442, 1.73
512, 870, 1.70
1024, 1716, 1.68
2048, 3418, 1.67
4096, 6804, 1.66
8192, 13610, 1.66
16384, 27194, 1.66
128, 440, 3.44
256, 442, 1.73
512, 870, 1.70
1024, 1712, 1.67
2048, 3416, 1.67
4096, 6818, 1.66
8192, 13608, 1.66
16384, 27214, 1.66
