128, 146, 1.14
256, 260, 1.02
512, 398, 0.78
1024, 678, 0.66
2048, 1226, 0.60
4096, 2330, 0.57
8192, 4544, 0.55
16384, 8950, 0.55
128, 146, 1.14
256, 264, 1.03
512, 400, 0.78
1024, 678, 0.66
2048, 1226, 0.60
4096, 2326, 0.57
8192, 4534, 0.55
16384, 8950, 0.55
128, 146, 1.14
256, 260, 1.02
512, 398, 0.78
1024, 676, 0.66
2048, 1224, 0.60
4096, 2330, 0.57
8192, 4530, 0.55
16384, 8944, 0.55
128, 146, 1.14
256, 264, 1.03
512, 402, 0.79
1024, 674, 0.66
2048, 1226, 0.60
4096, 2328, 0.57
8192, 4540, 0.55
16384, 8942, 0.55
128, 146, 1.14
256, 260, 1.02
512, 402, 0.79
1024, 676, 0.66
2048, 1224, 0.60
4096, 2332, 0.57
8192, 4540, 0.55
16384, 8946, 0.55
128, 146, 1.14
256, 260, 1.02
512, 398, 0.78
1024, 678, 0.66
2048, 1224, 0.60
4096, 2330, 0.57
8192, 4534, 0.55
16384, 8948, 0.55
128, 146, 1.14
256, 264, 1.03
512, 402, 0.79
1024, 678, 0.66
2048, 1228, 0.60
4096, 2328, 0.57
8192, 4534, 0.55
16384, 8954, 0.55
128, 146, 1.14
256, 262, 1.02
512, 402, 0.79
1024, 676, 0.66
2048, 1228, 0.60
4096, 2330, 0.57
8192, 4530, 0.55
16384, 8944, 0.55
128, 146, 1.14
256, 264, 1.03
512, 398, 0.78
1024, 674, 0.66
2048, 1228, 0.60
4096, 2326, 0.57
8192, 4538, 0.55
16384, 8950, 0.55
128, 146, 1.14
256, 264, 1.03
512, 402, 0.79
1024, 678, 0.66
2048, 1228, 0.60
4096, 2332, 0.57
8192, 4534, 0.55
16384, 8948, 0.55
128, 146, 1.14
256, 260, 1.02
512, 398, 0.78
1024, 674, 0.66
2048, 1226, 0.60
4096, 2330, 0.57
8192, 4536, 0.55
16384, 8954, 0.55
