128, 346, 2.70
256, 736, 2.88
512, 612, 1.20
1024, 1204, 1.18
2048, 2388, 1.17
4096, 4772, 1.17
8192, 9524, 1.16
16384, 19058, 1.16
128, 344, 2.69
256, 736, 2.88
512, 612, 1.20
1024, 1202, 1.17
2048, 2386, 1.17
4096, 4772, 1.17
8192, 9524, 1.16
16384, 19052, 1.16
128, 344, 2.69
256, 736, 2.88
512, 612, 1.20
1024, 1200, 1.17
2048, 2384, 1.16
4096, 4766, 1.16
8192, 9524, 1.16
16384, 19062, 1.16
128, 346, 2.70
256, 736, 2.88
512, 610, 1.19
1024, 1202, 1.17
2048, 2388, 1.17
4096, 4766, 1.16
8192, 9530, 1.16
16384, 19050, 1.16
128, 344, 2.69
256, 736, 2.88
512, 612, 1.20
1024, 1202, 1.17
2048, 2386, 1.17
4096, 4766, 1.16
8192, 9526, 1.16
16384, 19062, 1.16
128, 344, 2.69
256, 736, 2.88
512, 612, 1.20
1024, 1202, 1.17
2048, 2388, 1.17
4096, 4772, 1.17
8192, 9528, 1.16
16384, 19046, 1.16
128, 344, 2.69
256, 736, 2.88
512, 610, 1.19
1024, 1200, 1.17
2048, 2390, 1.17
4096, 4776, 1.17
8192, 9526, 1.16
16384, 19054, 1.16
128, 344, 2.69
256, 736, 2.88
512, 612, 1.20
1024, 1200, 1.17
2048, 2384, 1.16
4096, 4772, 1.17
8192, 9520, 1.16
16384, 19050, 1.16
128, 344, 2.69
256, 736, 2.88
512, 612, 1.20
1024, 1202, 1.17
2048, 2388, 1.17
4096, 4766, 1.16
8192, 9524, 1.16
16384, 19052, 1.16
128, 346, 2.70
256, 736, 2.88
512, 610, 1.19
1024, 1202, 1.17
2048, 2388, 1.17
4096, 4768, 1.16
8192, 9532, 1.16
16384, 19050, 1.16
128, 346, 2.70
256, 736, 2.88
512, 612, 1.20
1024, 1202, 1.17
2048, 2386, 1.17
4096, 4764, 1.16
8192, 9526, 1.16
16384, 19046, 1.16
