128, 1254, 9.80
256, 1376, 5.38
512, 2214, 4.32
1024, 3194, 3.12
2048, 5148, 2.51
4096, 9084, 2.22
8192, 16922, 2.07
16384, 32604, 1.99
128, 1248, 9.75
256, 1376, 5.38
512, 2214, 4.32
1024, 3198, 3.12
2048, 5158, 2.52
4096, 9084, 2.22
8192, 16926, 2.07
16384, 32608, 1.99
128, 1252, 9.78
256, 1376, 5.38
512, 2216, 4.33
1024, 3194, 3.12
2048, 5156, 2.52
4096, 9086, 2.22
8192, 16924, 2.07
16384, 32612, 1.99
128, 1248, 9.75
256, 1376, 5.38
512, 2216, 4.33
1024, 3196, 3.12
2048, 5158, 2.52
4096, 9082, 2.22
8192, 16922, 2.07
16384, 32608, 1.99
128, 1248, 9.75
256, 1378, 5.38
512, 2216, 4.33
1024, 3198, 3.12
2048, 5158, 2.52
4096, 9082, 2.22
8192, 16928, 2.07
16384, 32606, 1.99
128, 1252, 9.78
256, 1378, 5.38
512, 2216, 4.33
1024, 3198, 3.12
2048, 5158, 2.52
4096, 9084, 2.22
8192, 16924, 2.07
16384, 32614, 1.99
128, 1252, 9.78
256, 1376, 5.38
512, 2216, 4.33
1024, 3196, 3.12
2048, 5156, 2.52
4096, 9078, 2.22
8192, 16924, 2.07
16384, 32616, 1.99
128, 1250, 9.77
256, 1380, 5.39
512, 2214, 4.32
1024, 3200, 3.12
2048, 5156, 2.52
4096, 9078, 2.22
8192, 16932, 2.07
16384, 32608, 1.99
128, 1248, 9.75
256, 1374, 5.37
512, 2212, 4.32
1024, 3198, 3.12
2048, 5152, 2.52
4096, 9082, 2.22
8192, 16926, 2.07
16384, 32614, 1.99
128, 1250, 9.77
256, 1376, 5.38
512, 2216, 4.33
1024, 3194, 3.12
2048, 5158, 2.52
4096, 9080, 2.22
8192, 16926, 2.07
16384, 32610, 1.99
128, 1250, 9.77
256, 1378, 5.38
512, 2212, 4.32
1024, 3196, 3.12
2048, 5154, 2.52
4096, 9084, 2.22
8192, 16922, 2.07
16384, 32616, 1.99
