128, 2470, 19.30
256, 3350, 13.09
512, 5130, 10.02
1024, 8660, 8.46
2048, 15770, 7.70
4096, 29894, 7.30
8192, 58194, 7.10
16384, 114768, 7.00
128, 2466, 19.27
256, 3356, 13.11
512, 5124, 10.01
1024, 8660, 8.46
2048, 15780, 7.71
4096, 29914, 7.30
8192, 58164, 7.10
16384, 114690, 7.00
128, 2462, 19.23
256, 3352, 13.09
512, 5118, 10.00
1024, 8664, 8.46
2048, 15764, 7.70
4096, 29898, 7.30
8192, 58186, 7.10
16384, 114720, 7.00
128, 2464, 19.25
256, 3342, 13.05
512, 5124, 10.01
1024, 8676, 8.47
2048, 15774, 7.70
4096, 29902, 7.30
8192, 58168, 7.10
16384, 114726, 7.00
128, 2468, 19.28
256, 3350, 13.09
512, 5124, 10.01
1024, 8672, 8.47
2048, 15770, 7.70
4096, 29908, 7.30
8192, 58184, 7.10
16384, 114740, 7.00
128, 2464, 19.25
256, 3350, 13.09
512, 5128, 10.02
1024, 8662, 8.46
2048, 15786, 7.71
4096, 29880, 7.29
8192, 58184, 7.10
16384, 114740, 7.00
128, 2464, 19.25
256, 3350, 13.09
512, 5124, 10.01
1024, 8658, 8.46
2048, 15774, 7.70
4096, 29904, 7.30
8192, 58184, 7.10
16384, 114686, 7.00
128, 2464, 19.25
256, 3354, 13.10
512, 5122, 10.00
1024, 8666, 8.46
2048, 15778, 7.70
4096, 29900, 7.30
8192, 58184, 7.10
16384, 114702, 7.00
128, 2466, 19.27
256, 3350, 13.09
512, 5122, 10.00
1024, 8666, 8.46
2048, 15770, 7.70
4096, 29910, 7.30
8192, 58148, 7.10
16384, 114720, 7.00
128, 2466, 19.27
256, 3348, 13.08
512, 5122, 10.00
1024, 8664, 8.46
2048, 15764, 7.70
4096, 29914, 7.30
8192, 58186, 7.10
16384, 114694, 7.00
128, 2464, 19.25
256, 3350, 13.09
512, 5122, 10.00
1024, 8662, 8.46
2048, 15784, 7.71
4096, 29912, 7.30
8192, 58172, 7.10
16384, 114724, 7.00
