128, 822, 6.42
256, 1596, 6.23
512, 3122, 6.10
1024, 6182, 6.04
2048, 12318, 6.01
4096, 24564, 6.00
8192, 49008, 5.98
16384, 97936, 5.98
128, 824, 6.44
256, 1580, 6.17
512, 3120, 6.09
1024, 6182, 6.04
2048, 12332, 6.02
4096, 24564, 6.00
8192, 49064, 5.99
16384, 98056, 5.98
128, 828, 6.47
256, 1590, 6.21
512, 3112, 6.08
1024, 6168, 6.02
2048, 12334, 6.02
4096, 24548, 5.99
8192, 49052, 5.99
16384, 98054, 5.98
128, 828, 6.47
256, 1592, 6.22
512, 3114, 6.08
1024, 6174, 6.03
2048, 12340, 6.03
4096, 24580, 6.00
8192, 49078, 5.99
16384, 98014, 5.98
128, 824, 6.44
256, 1588, 6.20
512, 3116, 6.09
1024, 6164, 6.02
2048, 12346, 6.03
4096, 24592, 6.00
8192, 49030, 5.99
16384, 97928, 5.98
128, 826, 6.45
256, 1588, 6.20
512, 3128, 6.11
1024, 6168, 6.02
2048, 12346, 6.03
4096, 24550, 5.99
8192, 49070, 5.99
16384, 98040, 5.98
128, 824, 6.44
256, 1600, 6.25
512, 3124, 6.10
1024, 6176, 6.03
2048, 12346, 6.03
4096, 24556, 6.00
8192, 49068, 5.99
16384, 98000, 5.98
128, 824, 6.44
256, 1592, 6.22
512, 3122, 6.10
1024, 6178, 6.03
2048, 12336, 6.02
4096, 24590, 6.00
8192, 49050, 5.99
16384, 97950, 5.98
128, 824, 6.44
256, 1586, 6.20
512, 3112, 6.08
1024, 6174, 6.03
2048, 12296, 6.00
4096, 24588, 6.00
8192, 49038, 5.99
16384, 98010, 5.98
128, 820, 6.41
256, 1588, 6.20
512, 3120, 6.09
1024, 6188, 6.04
2048, 12328, 6.02
4096, 24586, 6.00
8192, 48976, 5.98
16384, 98036, 5.98
128, 830, 6.48
256, 1598, 6.24
512, 3122, 6.10
1024, 6186, 6.04
2048, 12328, 6.02
4096, 24554, 5.99
8192, 49024, 5.98
16384, 97928, 5.98
